Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,67.32,69.309998,67.199997,68.339996,68.339996,394500
2022-10-26,67.190002,68.959999,66.510002,66.93,66.93,760600
2022-10-27,67.290001,67.75,65.099998,65.150002,65.150002,882100
2022-10-28,65.860001,69.739998,65.309998,68.779999,68.779999,932500
2022-10-31,68.199997,68.199997,66.279999,67.120003,67.120003,735100
2022-11-01,68.580002,68.620003,66.629997,67.849998,67.849998,916400
2022-11-02,72.410004,74.0,70.629997,70.900002,70.900002,1821800
2022-11-03,69.889999,69.940002,66.739998,67.150002,67.150002,984700
2022-11-04,69.540001,69.75,66.800003,68.169998,68.169998,763000
2022-11-07,68.040001,68.279999,66.029999,67.43,67.43,601100
2022-11-08,68.089996,69.860001,67.669998,69.440002,69.440002,707700
2022-11-09,68.739998,69.089996,67.82,68.5,68.5,432200
2022-11-10,71.330002,73.370003,70.970001,73.25,73.25,491900
2022-11-11,73.25,75.559998,72.989998,74.919998,74.919998,490800
2022-11-14,74.889999,75.68,74.540001,74.849998,74.849998,388900
2022-11-15,76.57,78.089996,76.290001,77.220001,77.220001,501700
2022-11-16,76.190002,76.650002,74.220001,74.470001,74.470001,457900
2022-11-17,72.769997,74.75,72.519997,74.349998,74.349998,521500
2022-11-18,75.510002,77.18,75.290001,76.699997,76.699997,604100
2022-11-21,75.849998,76.540001,73.800003,73.800003,73.800003,352900
2022-11-22,74.580002,75.959999,73.970001,75.910004,75.910004,348900
2022-11-23,75.809998,77.080002,75.330002,76.93,76.93,251500
2022-11-25,76.360001,76.769997,74.959999,75.110001,75.110001,181000
2022-11-28,73.93,74.870003,72.510002,72.849998,72.849998,482900
2022-11-29,73.07,73.489998,70.720001,70.959999,70.959999,501900
2022-11-30,70.959999,74.839996,69.800003,74.709999,74.709999,745400
2022-12-01,74.949997,75.519997,73.639999,75.139999,75.139999,420100
2022-12-02,73.839996,74.449997,73.239998,74.089996,74.089996,228900
2022-12-05,73.82,74.050003,73.050003,73.540001,73.540001,313400
2022-12-06,73.760002,75.169998,72.440002,73.220001,73.220001,597700
2022-12-07,72.410004,74.150002,71.830002,74.040001,74.040001,434900
2022-12-08,74.599998,78.150002,74.599998,77.699997,77.699997,851800
2022-12-09,77.169998,77.949997,76.809998,76.849998,76.849998,460600
2022-12-12,76.620003,77.790001,75.959999,77.790001,77.790001,350000
2022-12-13,80.5,81.230003,78.860001,79.400002,79.400002,423200
2022-12-14,79.099998,80.690002,78.260002,78.550003,78.550003,416400
2022-12-15,77.540001,78.519997,76.830002,77.379997,77.379997,506600
2022-12-16,76.940002,77.459999,74.480003,76.809998,76.809998,1121400
2022-12-19,76.860001,77.550003,75.360001,76.150002,76.150002,656200
2022-12-20,75.559998,76.779999,75.099998,76.0,76.0,389800
2022-12-21,76.620003,77.769997,76.330002,77.43,77.43,427100
2022-12-22,76.260002,76.260002,74.339996,75.620003,75.620003,282500
2022-12-23,75.059998,75.699997,74.199997,74.970001,74.970001,229200
2022-12-27,74.699997,74.779999,73.800003,74.300003,74.300003,247300
2022-12-28,74.150002,74.949997,72.230003,72.519997,72.519997,303900
2022-12-29,73.419998,75.099998,73.419998,74.040001,74.040001,355000
2022-12-30,73.18,74.529999,72.449997,74.480003,74.480003,316800
2023-01-03,75.449997,75.449997,72.400002,72.400002,72.400002,579800
2023-01-04,73.82,75.449997,73.18,75.150002,75.150002,479500
2023-01-05,74.910004,75.589996,73.980003,75.43,75.43,384200
2023-01-06,76.110001,78.839996,75.419998,78.470001,78.470001,385100
2023-01-09,79.480003,81.470001,78.489998,80.959999,80.959999,411600
2023-01-10,81.010002,81.970001,81.010002,81.290001,81.290001,373000
2023-01-11,81.559998,83.989998,80.989998,83.800003,83.800003,973400
2023-01-12,83.769997,85.889999,82.889999,84.269997,84.269997,626500
2023-01-13,83.690002,85.330002,82.870003,84.889999,84.889999,399800
2023-01-17,84.5,85.739998,84.190002,85.660004,85.660004,440000
2023-01-18,86.440002,87.809998,85.669998,85.889999,85.889999,439000
2023-01-19,85.279999,85.709999,83.32,85.110001,85.110001,468700
2023-01-20,86.099998,86.300003,84.779999,86.290001,86.290001,283600
2023-01-23,87.110001,90.669998,86.879997,89.290001,89.290001,479300
2023-01-24,88.779999,90.269997,88.480003,89.07,89.07,445800
2023-01-25,88.089996,89.25,87.209999,88.839996,88.839996,363500
2023-01-26,89.220001,90.209999,88.540001,90.080002,90.080002,353900
2023-01-27,88.900002,90.209999,88.830002,89.699997,89.699997,329900
2023-01-30,88.419998,89.370003,87.959999,88.839996,88.839996,438900
2023-01-31,88.25,90.400002,88.25,90.389999,90.389999,472600
2023-02-01,90.610001,94.059998,90.419998,93.239998,93.239998,604800
2023-02-02,92.669998,95.510002,91.239998,94.889999,94.889999,1283700
2023-02-03,95.080002,104.970001,93.57,102.379997,102.379997,2563700
2023-02-06,100.639999,104.349998,99.970001,102.370003,102.370003,863100
2023-02-07,102.309998,107.309998,101.620003,106.650002,106.650002,1158200
2023-02-08,105.830002,107.629997,104.730003,105.110001,105.110001,566300
2023-02-09,106.150002,107.040001,104.309998,104.980003,104.980003,468000
2023-02-10,104.230003,104.970001,102.339996,104.5,104.5,648600
2023-02-13,104.730003,107.110001,103.989998,106.139999,106.139999,565000
2023-02-14,106.260002,108.419998,105.610001,105.849998,105.849998,776100
2023-02-15,105.050003,106.980003,104.330002,106.010002,106.010002,520400
2023-02-16,104.809998,106.93,104.690002,104.769997,104.769997,419900
2023-02-17,104.620003,104.620003,102.160004,103.529999,103.529999,529100
2023-02-21,102.129997,103.809998,101.559998,101.660004,101.660004,422900
2023-02-22,101.849998,103.419998,101.599998,101.790001,101.790001,391600
2023-02-23,104.0,104.239998,101.720001,102.769997,102.769997,283900
2023-02-24,101.489998,102.849998,101.480003,102.080002,102.080002,373600
2023-02-27,103.160004,103.599998,102.040001,102.190002,102.190002,320200
2023-02-28,101.669998,104.040001,101.360001,102.75,102.75,604200
2023-03-01,103.370003,104.610001,102.480003,103.209999,103.209999,453500
2023-03-02,102.349998,104.919998,101.639999,104.339996,104.339996,366500
2023-03-03,104.160004,104.629997,102.940002,103.739998,103.739998,604000
2023-03-06,104.370003,105.620003,102.389999,102.790001,102.790001,424100
2023-03-07,103.190002,103.720001,102.540001,103.230003,103.230003,304800
2023-03-08,103.730003,104.669998,103.400002,104.190002,104.190002,282700
2023-03-09,104.019997,105.769997,101.730003,101.860001,101.860001,511200
2023-03-10,102.290001,102.5,99.379997,100.790001,100.790001,416600
2023-03-13,99.470001,101.449997,99.040001,99.919998,99.919998,366300
2023-03-14,101.529999,102.900002,100.919998,102.519997,102.519997,407800
2023-03-15,101.110001,101.889999,99.120003,101.18,101.18,418400
2023-03-16,99.940002,103.720001,99.25,103.0,103.0,371800
2023-03-17,103.669998,104.410004,101.910004,102.75,102.75,1231200
2023-03-20,103.199997,104.800003,102.919998,104.529999,104.529999,323800
2023-03-21,105.379997,106.0,102.940002,104.480003,104.480003,456800
2023-03-22,104.230003,106.82,103.57,103.580002,103.580002,474300
2023-03-23,104.75,106.860001,104.370003,105.82,105.82,444400
2023-03-24,104.879997,105.730003,103.440002,105.589996,105.589996,585500
2023-03-27,105.910004,106.449997,104.349998,106.199997,106.199997,441700
2023-03-28,106.199997,106.389999,101.980003,104.389999,104.389999,583000
2023-03-29,105.809998,109.349998,105.760002,108.589996,108.589996,600300
2023-03-30,109.459999,111.150002,108.860001,109.559998,109.559998,582100
2023-03-31,108.599998,109.559998,108.040001,109.379997,109.379997,496400
2023-04-03,109.160004,109.75,106.839996,107.620003,107.620003,465200
2023-04-04,107.739998,107.739998,104.75,105.599998,105.599998,414000
2023-04-05,104.860001,104.970001,101.709999,102.650002,102.650002,824300
2023-04-06,102.0,102.870003,101.389999,102.739998,102.739998,702900
2023-04-10,101.779999,103.809998,101.779999,103.300003,103.300003,311000
2023-04-11,103.650002,103.900002,101.419998,101.82,101.82,433800
2023-04-12,88.230003,91.730003,87.900002,89.279999,89.279999,3291300
2023-04-13,89.690002,91.239998,89.559998,90.900002,90.900002,963700
2023-04-14,90.769997,92.18,88.760002,89.169998,89.169998,986400
2023-04-17,89.029999,91.150002,87.970001,89.400002,89.400002,1098500
2023-04-18,90.129997,90.440002,88.0,88.830002,88.830002,463000
2023-04-19,88.239998,89.120003,87.650002,89.07,89.07,344400
2023-04-20,88.379997,89.629997,88.230003,88.75,88.75,474600
2023-04-21,88.809998,88.809998,87.550003,88.0,88.0,407800
2023-04-24,87.5,87.830002,86.110001,86.709999,86.709999,612300
2023-04-25,86.129997,86.199997,83.769997,84.07,84.07,617700
2023-04-26,84.400002,85.339996,83.839996,83.980003,83.980003,486500
2023-04-27,83.25,84.860001,81.940002,84.769997,84.769997,565300
2023-04-28,85.349998,86.0,84.209999,85.790001,85.790001,549700
2023-05-01,85.790001,86.639999,84.709999,85.050003,85.050003,471900
